X;Y;Z;SetPoint X
134.75;-0.4375;-100.8125;360
124.5;9.4375;-101.25;350
114.3125;19.3125;-102.0625;340
104.1875;29.125;-103.25;330
94.0625;38.8125;-105.125;320
84;48.375;-108.0625;310
73.875;57.75;-112.9375;300
63.8125;66.625;-121.75;290
53.6875;74.25;-140.4375;280
43.625;77.9375;-179.125;270
33.5625;74.5;141.3125;260
23.5;66.9375;122;250
13.375;58;112.875;240
3.25;48.625;107.9375;230
353.0625;38.875;104.9375;220
342.8125;29.0625;103.125;210
332.5625;19.125;101.875;200
322.375;9.1875;101.1875;190
312.4375;-0.5;100.6875;180
312.4375;-0.5;100.6875;180
322.1875;9.125;100.875;190
332.125;18.8125;101.5;200
342.0625;28.5625;102.625;210
352.125;38.25;104.4375;220
2.1875;47.875;107.375;230
12.3125;57.3125;112.1875;240
22.4375;66.25;121;250
32.5625;73.9375;139.5;260
42.75;77.6875;177.6875;270
52.875;74.375;-143;280
63;66.9375;-123.5;290
73.0625;58.125;-114.25;300
83.125;48.8125;-109.25;310
93.1875;39.3125;-106.25;320
103.3125;29.6875;-104.375;330
113.4375;19.9375;-103.125;340
123.5625;10.125;-102.4375;350
133.6875;0.3125;-102.125;360
