X;Y;Z;SetPoint Y
199.625;-80.3125;-168.1875;-90
193.6875;-75.5;-132.3125;-80
185.75;-68.125;-117.3125;-70
177.8125;-60.9375;-111.25;-60
166.75;-51.625;-107.3125;-50
154.8125;-42;-105.0625;-40
142;-32.1875;-103.6875;-30
128.8125;-22.3125;-102.9375;-20
115.5625;-12.375;-102.625;-10
102.25;-2.5;-102.5625;0
88.875;7.25;-102.875;10
75.5;17.0625;-103.5;20
62.125;26.75;-104.6875;30
48.625;36.4375;-106.5625;40
35.125;46;-109.4375;50
21.6875;55.25;-113.9375;60
8.125;64.1875;-122.1875;70
354.5625;72;-138.5625;80
341.25;76.625;-170.625;90
339.75;76.6875;-172.3125;90
347.3125;73.1875;-142.375;80
355.8125;67.375;-126.5;70
7.25;59.0625;-116.375;60
19.75;50.1875;-110.6875;50
33.125;40.6875;-107.125;40
46.3125;31.125;-104.875;30
59.625;21.4375;-103.4375;20
73;11.5625;-102.5625;10
86.125;1.8125;-102.125;0
99.375;-8;-102;-10
112.5625;-17.9375;-102.125;-20
125.75;-27.9375;-102.625;-30
138.75;-37.875;-103.625;-40
151.5625;-47.6875;-105.4375;-50
164.25;-57.375;-108.375;-60
176.6875;-66.8125;-114.625;-70
189.0625;-75.4375;-129.375;-80
200.9375;-81.125;-168.875;-90
